"island","year","cover","cover.SE"
"Moorea",2010,2.18975,0.912983801320899
"Raiatea",2010,0.123,0.0846544057982373
"Moorea",2011,0.677,0.189015593898604
"Moorea",2012,2.98975,0.777917542883332
"Raiatea",2012,0.923,0.234284015673285
"Moorea",2013,2.4025,0.384342825996189
"Moorea",2014,12.4935,0.989500751480001
"Raiatea",2014,6.8445,0.740956520849553
"Moorea",2015,16.5345,1.753472265775
"Moorea",2016,26.598,1.59692907216897
"Raiatea",2016,18.8785,1.93084127764912
"Moorea",2017,36.1635,2.92385130615876
"Moorea",2018,46.6895,2.15729415484139
"Raiatea",2018,25.3005,2.54507361851955
"Moorea",2019,30.7945,2.32650013573585
"Moorea",2020,28.046,1.51565657262912
"Raiatea",2020,33.3865,3.15002516907238
